Nest	FoodTreatment	SexParent	ArrivalTime	SiblingNegotiation	BroodSize	NegPerChick
AutavauxTV	Deprived	Male	22.25	4	5	0.8
AutavauxTV	Satiated	Male	22.38	0	5	0
AutavauxTV	Deprived	Male	22.53	2	5	0.4
AutavauxTV	Deprived	Male	22.56	2	5	0.4
AutavauxTV	Deprived	Male	22.61	2	5	0.4
AutavauxTV	Deprived	Male	22.65	2	5	0.4
AutavauxTV	Deprived	Male	22.76	18	5	3.6
AutavauxTV	Satiated	Female	22.9	4	5	0.8
AutavauxTV	Deprived	Male	22.98	18	5	3.6
AutavauxTV	Satiated	Female	23.07	0	5	0
AutavauxTV	Satiated	Female	23.18	0	5	0
AutavauxTV	Deprived	Female	23.28	3	5	0.6
AutavauxTV	Satiated	Male	23.38	0	5	0
AutavauxTV	Deprived	Male	23.43	3	5	0.6
AutavauxTV	Deprived	Female	23.45	3	5	0.6
AutavauxTV	Deprived	Male	23.68	6	5	1.2
AutavauxTV	Deprived	Female	24	0	5	0
AutavauxTV	Satiated	Male	24.21	4	5	0.8
AutavauxTV	Deprived	Male	24.25	0	5	0
AutavauxTV	Deprived	Male	24.58	7	5	1.4
AutavauxTV	Deprived	Male	24.65	7	5	1.4
AutavauxTV	Satiated	Male	24.95	0	5	0
AutavauxTV	Satiated	Female	25.25	16	5	3.2
AutavauxTV	Satiated	Male	25.75	7	5	1.4
AutavauxTV	Deprived	Male	27.71	0	5	0
AutavauxTV	Deprived	Female	27.85	7	5	1.4
AutavauxTV	Deprived	Female	28.02	16	5	3.2
AutavauxTV	Deprived	Male	28.82	5	5	1
Bochet	Satiated	Female	22.81	3	4	0.75
Bochet	Satiated	Male	23.2	2	4	0.5
Bochet	Deprived	Male	23.22	13	4	3.25
Bochet	Deprived	Female	23.23	13	4	3.25
Bochet	Deprived	Male	23.33	22	4	5.5
Bochet	Satiated	Male	23.36	2	4	0.5
Bochet	Satiated	Female	23.4	2	4	0.5
Bochet	Satiated	Male	23.45	2	4	0.5
Bochet	Deprived	Male	23.46	22	4	5.5
Bochet	Deprived	Female	23.5	12	4	3
Bochet	Satiated	Female	23.51	0	4	0
Bochet	Deprived	Female	23.53	12	4	3
Bochet	Deprived	Male	23.78	12	4	3
