ls11cd,la19nm,IDAOP_london_rank,IDAOP_london_decile,IDACI_london_rank,IDACI_london_decile,Income_london_rank,Income_london_decile,employment_london_rank,employment_london_decile,crime_london_rank,crime_london_decile,barriers_london_rank,barriers_london_decile,livingEnv_london_rank,livingEnv_london_decile,health_london_rank,health_london_decile,edu_london_rank,edu_london_decile
E01000001,City of London,"32,820",10,32806,10,32831,10,32742,10,32662,10,2679,6,7789,4,32113,10,32842,10
E01000002,City of London,"31,938",10,29682,10,29901,10,31190,10,32789,10,3645,8,13070,7,29705,9,32832,10
E01000003,City of London,"16,377",8,27063,9,18510,7,15103,5,29363,10,984,3,4092,2,17600,4,26386,8
E01000005,City of London,"3,885",3,9458,4,6029,2,7833,2,31059,10,1003,3,9397,5,17907,4,12370,2
E01000006,Barking and Dagenham,"12,934",7,13592,6,14023,6,21692,7,18848,8,495,2,10629,6,21581,6,17511,4
E01000007,Barking and Dagenham,"2,514",2,6750,3,6261,2,11487,4,4925,2,145,1,11162,6,16414,4,20536,5
E01000008,Barking and Dagenham,893,1,4452,2,3382,1,6431,2,11113,5,473,1,8672,5,12334,2,10569,2
E01000009,Barking and Dagenham,"2,238",2,10487,5,7506,3,11132,3,4431,2,270,1,9611,5,9661,2,16819,4
E01000010,Barking and Dagenham,531,1,8757,4,8902,4,17988,6,2164,1,140,1,2269,1,16050,4,20182,5
E01000011,Barking and Dagenham,"2,747",2,10815,5,9033,4,16108,5,8727,4,79,1,4309,2,18178,4,12224,2
E01000012,Barking and Dagenham,"3,554",3,4419,2,4570,2,13201,4,8515,4,34,1,5437,3,16887,4,13896,3
E01000013,Barking and Dagenham,"6,152",4,7335,3,5966,2,7013,2,2236,1,487,2,8569,5,7172,1,11346,2
E01000014,Barking and Dagenham,"5,474",4,9854,4,6627,3,7932,2,5163,2,421,1,11704,7,10972,2,7994,1
E01000015,Barking and Dagenham,"4,299",3,6921,3,5755,2,9271,3,10845,5,148,1,11351,7,15626,4,10318,2
E01000016,Barking and Dagenham,"6,054",4,6841,3,6711,3,9461,3,8699,4,600,2,11815,7,10676,2,8971,1
E01000017,Barking and Dagenham,"4,966",4,3696,1,4033,1,5016,1,11685,5,434,1,10141,6,6950,1,11972,2
E01000018,Barking and Dagenham,"7,710",5,5110,2,5998,2,7832,2,9663,4,614,2,11373,7,12006,2,10125,2
E01000019,Barking and Dagenham,"5,121",4,10305,4,7049,3,7641,2,7142,3,856,2,10667,6,9374,1,10264,2
E01000020,Barking and Dagenham,"3,361",3,8053,3,5760,2,8401,2,7066,3,613,2,8756,5,6282,1,11245,2
E01000021,Barking and Dagenham,"2,973",2,4790,2,5007,2,7865,2,8283,3,460,1,3095,1,10085,2,7939,1
E01000022,Barking and Dagenham,"8,010",5,6989,3,6941,3,7576,2,9002,4,570,2,8559,5,9980,2,9771,2
E01000023,Barking and Dagenham,"3,920",3,3538,1,5088,2,11325,4,1812,1,443,1,4268,2,15505,3,11907,2
E01000024,Barking and Dagenham,"5,988",4,13512,6,10056,4,12570,4,12816,6,453,1,8892,5,12148,2,8860,1
E01000025,Barking and Dagenham,"5,223",4,5422,2,5570,2,7683,2,5042,2,343,1,9925,6,10405,2,10465,2
E01000027,Barking and Dagenham,"8,003",5,5532,2,5730,2,6959,2,3211,1,512,2,15032,8,13752,3,5869,1
E01000028,Barking and Dagenham,"1,337",1,5919,2,3610,1,6080,1,18303,8,241,1,18166,9,3254,1,9522,1
E01000029,Barking and Dagenham,"14,665",7,16396,7,14506,6,17567,6,11162,5,303,1,13867,8,20355,5,15570,3
E01000030,Barking and Dagenham,"6,752",4,2800,1,3448,1,5569,1,9086,4,539,2,14570,8,15751,4,5699,1
E01000031,Barking and Dagenham,"10,229",6,12475,5,12951,5,17380,6,4231,2,1790,4,10136,6,15303,3,19087,5
E01000032,Barking and Dagenham,"10,623",6,12340,5,10854,5,11603,4,4275,2,999,3,4853,2,14597,3,11882,2
E01000033,Barking and Dagenham,"6,836",4,2770,1,3732,1,7857,2,14128,6,45,1,14002,8,11932,2,7805,1
E01000034,Barking and Dagenham,"4,183",3,6977,3,5759,2,6863,2,11900,5,502,2,16800,9,7279,1,7148,1
E01000035,Barking and Dagenham,"10,771",6,8675,4,10489,4,13897,4,12838,6,1106,3,13084,7,10364,2,10551,2
